797,7356,130636
732,7146,130589
771,7102,133557
1149,10166,156448
955,8915,146144
1008,9575,161753
825,8150,146275
875,8030,159153
788,7632,156567
818,7534,145402
733,7198,143198
831,7545,133986
734,6261,124057
909,7902,144567
803,7425,136134
870,7698,133637
892,8186,152048
869,8108,163577
848,7497,158791
861,8458,170066
776,7301,153087
767,7478,163250
818,7762,159440
823,7821,154178
783,7348,143824
856,8133,160772
944,8758,157732
846,7883,155495
843,8210,168242
952,8895,160274
798,7674,158552
896,7711,159298
921,8751,159328
903,8436,159624
834,7729,151820
967,9295,189631
753,6901,145973
909,8450,152432
770,7445,153935
945,8804,171662
1038,9311,168757
824,7543,151495
783,7552,157113
785,7480,153211
843,8119,158971
773,7537,156109
773,7611,165908
845,7807,155937
718,6880,149062
746,6956,145023
722,6959,150736
741,7053,147503
777,7365,138437
830,7727,153649
938,8949,156495
829,7736,158742
843,8059,159211
902,8437,159183
832,7770,155524
800,7647,153196
1046,9664,180558
794,7582,154871
785,7763,165280
937,8718,185665
768,7269,159483
868,8227,164915
926,8932,175542
891,8583,166244
804,7906,150591
932,8265,161596
956,7682,159036
728,6909,144962
699,6806,140964
781,7465,163496
814,7951,165401
825,8148,154766
841,7967,157338
914,8701,158329
813,7834,158683
704,6643,145890
703,6883,145411
978,9365,175330
787,7348,160669
785,7368,148105
815,7442,165121
909,8697,169740
811,7435,143413
810,7759,160572
896,8681,163879
930,8824,172867
824,7988,141095
797,7769,170185
889,8223,164422
804,7235,155506
641,6196,136251
733,6633,132267
849,7828,156385
873,8147,172527
948,8421,159171
955,8816,180929
791,7665,161352
902,7852,149622
808,7494,144742
1051,10151,186035
772,7497,164941
701,6705,146174
755,7373,154532
723,6938,138787
863,8069,156128
864,8003,155004
818,7530,168284
843,7937,166085
762,6870,126187
771,7214,138946
896,8183,170491
830,7293,142879
839,8066,158087
718,6603,149762
887,8347,150614
798,7697,153403
963,8297,162243
937,9005,180242
828,7938,152174
832,7858,160695
933,7977,151909
749,7090,142951
901,8201,168675
814,7719,164966
1047,8704,158365
752,6931,135261
832,7742,147192
790,7556,158854
811,7735,155787
1019,9123,154415
792,7423,137629
723,6932,142452
754,7099,142891
865,8275,169400
763,7435,155415
925,8679,146731
699,6623,126338
789,7202,154930
833,8073,154517
752,7281,161859
701,6753,136573
826,7539,141582
782,7355,154011
844,8235,169290
793,7140,131848
719,6512,117894
728,7026,139390
761,7091,145004
863,8370,160619
727,6711,130166
797,7559,151361
881,8021,159864
968,8505,160969
727,6691,140452
923,8911,168775
848,7993,170575
735,6667,137459
1080,9259,169104
745,7039,135932
839,7761,159466
671,6603,152437
921,8480,173672
886,8585,175791
790,7731,143085
731,7087,148510
1021,9177,160141
1040,9839,177657
911,8262,169752
731,6974,151606
786,7535,168167
822,7708,147219
829,7652,157794
842,8053,172564
841,7904,161787
735,7050,146545
798,7499,128887
919,8725,176225
808,7670,150996
680,6334,126400
698,6808,152236
875,8464,161453
850,7855,163105
733,6924,140498
720,6816,149548
801,7328,153610
889,7756,150727
1018,9086,176089
866,8337,176411
863,8423,168651
799,7739,170335
703,6771,143471
742,7052,143350
826,7762,153492
889,8274,161970
759,7092,137881
640,6240,138262
640,6026,110517
636,6144,118328
831,7786,158601
749,7142,146599
1018,8349,142030
830,7792,160164
831,7451,159284
566,5517,107085
574,5445,111702
765,7046,138125
826,7821,148543
769,7208,158656
751,7172,144315
854,8235,164973
864,7970,172236
750,7258,146266
705,6904,158104
735,6938,147064
917,8753,161140
848,7584,156534
639,6124,127416
479,4574,101114
762,6950,149602
822,8074,173949
881,8440,169822
854,8264,171422
861,7878,159340
843,8164,165635
738,6688,141262
660,6098,140458
561,5516,134630
906,8576,170956
842,8020,162196
857,8233,182139
758,7283,154283
801,7696,164313
934,8099,164495
891,8429,178146
848,7645,170142
692,6551,118688
711,6800,134321
845,7324,155883
874,8369,168950
913,8781,179875
711,6737,146783
734,7099,156535
869,7360,157824
876,7750,161505
809,7695,144305
810,7735,153179
788,7354,157954
858,7862,153183
700,6547,140245
755,7258,142800
670,6234,123568
693,6596,147295
829,7593,149215
802,7276,146826
705,6801,132067
775,7049,152344
720,6791,145151
843,8062,156836
721,6912,136384
1049,10027,179941
493,4672,97431
758,6999,143064
786,7635,160350
688,6680,144362
827,7869,164882
670,6364,122422
699,6897,131857
741,7222,155259
578,5604,117736
681,6644,134537
724,6816,144541
811,7690,162398
838,7852,160985
877,8500,162331
668,6617,130863
883,8682,185521
816,7669,149625
819,8055,169255
741,7285,148749
659,6283,135193
818,7886,149589
721,6896,135211
931,8514,165927
944,8529,159781
739,7010,141603
660,6293,132910
674,6396,145926
822,7171,132965
799,7280,144020
721,6489,142562
1054,10052,166346
1209,10338,169460
783,7239,132527
953,8595,161458
813,7696,154354
834,7360,160938
749,7022,156245
912,8404,167723
745,7340,146287
891,8027,139018
844,7782,152754
654,5944,119388
609,5834,131651
648,6377,123857
838,7751,159329
887,8328,154487
911,8586,177198
904,8413,174682
1150,10140,156580
